,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_learning_rate,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
121,0.002264118194580078,0.003075115539461093,0.0008053064346313476,0.0024159193038940426,0.01,invscaling,123,"{'alpha': 0.01, 'learning_rate': 'invscaling', 'random_state': 123}",0.4873213828755951,0.24306942400388354,0.6686370672864316,-0.7590538087419947,-0.1640813086425874,-0.367457096074685,0.6983836286102014,0.46128496817146925,-0.6236550377037497,-1.410326375947275,-0.07658771561627109,0.6709383955471883,44
122,0.0030543327331542967,0.0038594935565085028,0.0,0.0,0.01,invscaling,666,"{'alpha': 0.01, 'learning_rate': 'invscaling', 'random_state': 666}",0.501756735049325,0.26764672360859787,0.6424708738140739,-0.8488945769230443,-0.2304410851581573,-0.3599926659611268,0.7050424731228722,0.47313706137249545,-0.6050142999051418,-1.3766344488074558,-0.08309232097875614,0.6747257344993879,55
123,0.006974053382873535,0.006057298152414366,0.0010028123855590821,0.0021945041389024957,0.01,invscaling,123123,"{'alpha': 0.01, 'learning_rate': 'invscaling', 'random_state': 123123}",0.49305489365629185,0.262512705125478,0.649050242236568,-0.8345165196193753,-0.17146026940055492,-0.42484726981548127,0.685183067770853,0.48857157330334,-0.6232036910262146,-1.3454895833933365,-0.08211448511624317,0.669258478100791,54
124,0.0026170969009399413,0.0036022369821274622,0.00020384788513183594,0.0006115436553955078,0.01,invscaling,777,"{'alpha': 0.01, 'learning_rate': 'invscaling', 'random_state': 777}",0.4884634628168062,0.27064575069375696,0.6424093103882933,-0.8365679008531879,-0.1354103844825838,-0.41562173338069,0.7026861622739361,0.482742736956118,-0.6121184807801343,-1.3529755893129516,-0.0765746665680637,0.6699897182864448,43
125,0.0030214786529541016,0.003391769140725889,0.0,0.0,0.01,invscaling,69,"{'alpha': 0.01, 'learning_rate': 'invscaling', 'random_state': 69}",0.47459263472686675,0.27701852314127984,0.6495973230834327,-0.8386336792141698,-0.10975556655815755,-0.3749261434168727,0.6982220552078813,0.46486372603006043,-0.6908185102785003,-1.3399344047121815,-0.0789774041990361,0.6703557935954352,53
126,0.001098465919494629,0.0008286228030378431,0.0002031564712524414,0.000406388513271333,0.001,constant,12345,"{'alpha': 0.001, 'learning_rate': 'constant', 'random_state': 12345}",0.48243702246960385,0.3003829325601973,0.6666998569773153,-1.0758205901098634,-0.20251783559945724,-0.135117939552448,0.7292191412208162,0.5267676473270848,-0.5811215143020485,-0.821919405798337,-0.01109906848071367,0.6168785050996699,2
127,0.0016989707946777344,0.00045887282476688823,0.00029621124267578127,0.00045258457235557625,0.001,constant,123,"{'alpha': 0.001, 'learning_rate': 'constant', 'random_state': 123}",0.5144369481405329,0.33551655730294105,0.5643100254769612,-0.6638784061170317,0.010974461407053271,-0.1252548609053381,0.6707706686036685,0.5380398210286579,-0.6814839146419847,-1.54586245707236,-0.03824311567768997,0.6878308031622458,9
128,0.0018949031829833985,0.0005294735132394099,0.000299072265625,0.00045684123231105937,0.001,constant,666,"{'alpha': 0.001, 'learning_rate': 'constant', 'random_state': 666}",0.482131959334427,0.24165636022735115,0.6519090095175336,-0.8138921036476596,-0.7065679280178887,-0.4529284627481833,0.6003752315877271,0.5232272860681579,-0.5261498830247546,-1.6287644218697381,-0.16290029525730276,0.7335663948128883,57
129,0.0012969732284545898,0.00044694647169980334,0.0003996372222900391,0.0004894678358947181,0.001,constant,123123,"{'alpha': 0.001, 'learning_rate': 'constant', 'random_state': 123123}",0.5083892913525909,0.3103499898008819,0.7514530130869657,-1.0358001406894881,-0.21070703508815591,-0.38741094962996336,0.7416483759744423,0.5662273084024646,-0.552641238028519,-1.085139997688946,-0.039363138250772714,0.6726757995484054,13
130,0.001799321174621582,0.0005982673510598822,0.0001956939697265625,0.000391478570428555,0.001,constant,777,"{'alpha': 0.001, 'learning_rate': 'constant', 'random_state': 777}",0.5409682585849666,0.20659335097036768,0.7258587159421701,-0.9148879952423676,0.08738560712639898,-0.2053980370918218,0.41428681236877085,0.5338668667711848,-0.5528884583592899,-1.2506193381644093,-0.04148342170940298,0.6370412871025479,17
