param_C,param_coef0,param_degree,param_gamma,param_kernel,param_tol,mean_test_score,std_test_score,rank_test_score
0.001,0.01,3,auto,poly,1e-05,-0.0562302136977338,0.06363899664698416,2279.8
0.001,0.01,3,auto,poly,0.0001,-0.0562302136977338,0.06363899664698416,2279.8
0.001,0.01,3,auto,poly,0.001,-0.0562302136977338,0.06363899664698416,2279.8
0.001,0.01,3,auto,poly,0.01,-0.05622717389322002,0.06364040992409922,2277.6
0.001,0.01,3,auto,poly,0.1,-0.060225728767597395,0.06576528683476594,2338.4
0.001,0.01,3,auto,rbf,1e-05,-0.05549263333415936,0.06351836105595457,2140.4
0.001,0.01,3,auto,rbf,0.0001,-0.05549263333415936,0.06351836105595457,2140.4
0.001,0.01,3,auto,rbf,0.001,-0.055492071667440954,0.06351867944012393,2139.2
0.001,0.01,3,auto,rbf,0.01,-0.055487257195504056,0.06352294062551288,2148.6
0.001,0.01,3,auto,rbf,0.1,-0.053814102960416874,0.06058908723307412,2230.0
0.001,0.01,3,auto,sigmoid,1e-05,-0.055834036194058745,0.06357106722389103,2178.2
0.001,0.01,3,auto,sigmoid,0.0001,-0.055834036194058745,0.06357106722389103,2178.2
0.001,0.01,3,auto,sigmoid,0.001,-0.055833720487490926,0.06357124011033835,2177.8
0.001,0.01,3,auto,sigmoid,0.01,-0.05583187144503136,0.0635754704658413,2180.8
0.001,0.01,3,auto,sigmoid,0.1,-0.0541606764111968,0.060976740986692035,2244.6
0.001,0.01,3,scale,linear,1e-05,0.03377769299631426,0.11179680158449623,1627.0
0.001,0.01,3,scale,linear,0.0001,0.03377583791288408,0.1117935623177273,1629.4
0.001,0.01,3,scale,linear,0.001,0.03381076587998842,0.11180624953160764,1631.8
0.001,0.01,3,scale,linear,0.01,0.03328088442843594,0.1119420334302795,1654.2
0.001,0.01,3,scale,linear,0.1,0.031899337099677835,0.11483525581558618,1671.0
0.001,0.01,3,scale,poly,1e-05,-0.04122659119026116,0.0626638477606338,1907.4
0.001,0.01,3,scale,poly,0.0001,-0.04122657302670408,0.06266386185562098,1907.2
0.001,0.01,3,scale,poly,0.001,-0.0412349399001664,0.0626757565907011,1907.6
0.001,0.01,3,scale,poly,0.01,-0.04153087654675578,0.062567207695872,1918.8
0.001,0.01,3,scale,poly,0.1,-0.043936915003065305,0.0624613138069825,1932.8
0.001,0.01,3,scale,rbf,1e-05,-0.053751567026395095,0.06331792859638957,2071.0
0.001,0.01,3,scale,rbf,0.0001,-0.0537516103921629,0.06331796227940294,2072.2
0.001,0.01,3,scale,rbf,0.001,-0.05374653912146674,0.06331960728370252,2069.8
0.001,0.01,3,scale,rbf,0.01,-0.05374582299974132,0.06330827799536244,2077.0
0.001,0.01,3,scale,rbf,0.1,-0.05177680079907154,0.05978118160850908,2042.0
0.001,0.01,3,scale,sigmoid,1e-05,-0.055130874867541556,0.06344662388094449,2187.0
0.001,0.01,3,scale,sigmoid,0.0001,-0.055130874867541556,0.06344662388094449,2187.0
0.001,0.01,3,scale,sigmoid,0.001,-0.055130874867541556,0.06344662388094449,2187.0
0.001,0.01,3,scale,sigmoid,0.01,-0.05513659994982558,0.06344690424755142,2199.8
0.001,0.01,3,scale,sigmoid,0.1,-0.05270811947965516,0.060108524865189986,2136.6
0.001,0.01,8,auto,linear,1e-05,0.03377769299631426,0.11179680158449623,1627.0
0.001,0.01,8,auto,linear,0.0001,0.03377583791288408,0.1117935623177273,1629.4
0.001,0.01,8,auto,linear,0.001,0.03381076587998842,0.11180624953160764,1631.8
0.001,0.01,8,auto,linear,0.01,0.03328088442843594,0.1119420334302795,1654.2
0.001,0.01,8,auto,linear,0.1,0.031899337099677835,0.11483525581558618,1671.0
0.001,0.01,8,auto,poly,1e-05,-0.05626918165238224,0.06364566780977636,2356.2
0.001,0.01,8,auto,poly,0.0001,-0.05626918165238224,0.06364566780977636,2356.2
0.001,0.01,8,auto,poly,0.001,-0.05626918165238224,0.06364566780977636,2356.2
0.001,0.01,8,auto,poly,0.01,-0.05626918159139392,0.06364566771676036,2356.0
0.001,0.01,8,auto,poly,0.1,-0.062177594624174506,0.06901386419263755,2427.2
0.001,0.01,8,auto,rbf,1e-05,-0.05549263333415936,0.06351836105595457,2140.4
0.001,0.01,8,auto,rbf,0.0001,-0.05549263333415936,0.06351836105595457,2140.4
0.001,0.01,8,auto,rbf,0.001,-0.055492071667440954,0.06351867944012393,2139.2
0.001,0.01,8,auto,rbf,0.01,-0.055487257195504056,0.06352294062551288,2148.6
0.001,0.01,8,auto,rbf,0.1,-0.053814102960416874,0.06058908723307412,2230.0
0.001,0.01,8,auto,sigmoid,1e-05,-0.055834036194058745,0.06357106722389103,2178.2
0.001,0.01,8,auto,sigmoid,0.0001,-0.055834036194058745,0.06357106722389103,2178.2
0.001,0.01,8,auto,sigmoid,0.001,-0.055833720487490926,0.06357124011033835,2177.8
0.001,0.01,8,auto,sigmoid,0.01,-0.05583187144503136,0.0635754704658413,2180.8
